a,a**2,b,b**2,yShift,a,a**2,b,b**2,yShift,vectorDirection,graphPixelCount,medianDistance,rating
-0.348,-1.517,0.417,0,-0.582,0,0,0,-0.099,-0.435,0.19394029,0.24536791,0.2533706,0.3
0,0,0.385,0.961,-0.376,-1.31,0,-0.838,0.697,-2.388,0.53427902,0.2657568,0.2539027,0.1
0.624,0.662,0,1.024,-0.906,0.118,-0.111,-0.425,0.552,-0.993,0.42216744,0.26306035,0.25365878,0.5
0.752,0,0,-0.367,0.877,0,0,0,-1.505,0.37,0.19394029,0.24897894,0.2533706,0.6
0.275,0.547,0,-0.359,-0.767,0.127,0,0,0.108,1.098,0.20194827,0.25460835,0.28769615,0.6
-0.104,0,-0.368,0.133,-1.222,1.424,0,-0.185,0,-0.848,0.43017541,0.26400647,0.25360127,0.9
-0.691,1.093,0,0.426,0.986,0,0,-0.831,0,-2.32,0.20194827,0.2544822,0.27044911,0.5
-0.878,0,-0.338,0,-0.43,-0.383,0,0,0,-1.507,0.23398015,0.25460835,0.29589331,0.4
1.503,0,0,0,0.533,0,0,0,-0.487,0.876,0.53828301,0.27126006,0.25377842,0.4
0,0,0.813,0,-0.092,0.871,0,2.097,0,-0.157,0.23398015,0.25465566,0.29589331,0.4
2.091,0.331,0.73,0,-0.344,0,1.158,0,0,1.955,0.59033482,0.2326426,0.253292,0.1
-0.457,-0.24,0,0.062,-1.677,2.253,0,1.452,-0.3,-2.243,0.34609173,0.25042965,0.25364452,0.1
0.503,0,0,-0.375,-1.528,-0.067,0,0.101,-0.369,0.497,0.28603195,0.25878705,0.25359765,0.4
-0.915,0.545,1.883,0,-1.375,1.533,0,0,-0.659,-0.613,0.23398015,0.26261883,0.25391499,0.5
-0.931,0,0,-0.004,-2.938,0,0,0.662,0,0.394,0.20194827,0.24538368,0.2533706,0.6
0,0,0,1.141,-3.031,0,0,0,0,-0.46,0.20194827,0.25452951,0.27675076,0.1
0,0,0,0,0.509,0.329,0,0,0,1.608,0.25400007,0.26566218,0.25394341,0.1
-1.602,0,0,0,0.424,0,0,0.243,0,-0.246,0.23798413,0.2544822,0.28385959,0.4
0.915,1.291,0.725,-1.021,-0.082,0,0,-1.458,-1.987,-0.724,0.20595225,0.26231923,0.25367325,0.5
1.418,-1.707,0.004,0.422,0.809,0,-0.265,0,0,-2.216,0.19394029,0.24967276,0.25338274,0.1
0.844,0,0,0,2.21,0.588,1.894,0,0,1.068,0.19794428,0.24932585,0.26857579,0.4
0.758,-0.642,0,0,-1.461,0,1.243,0,0,0.144,0.41015549,0.26110504,0.25359272,0.1
0.563,0,0,0,0.185,-1.318,0.537,0,0,1.096,0.20595225,0.27081854,0.27402052,0.4
0,0.16,0,0,-1.275,-0.354,0.093,-1.823,-0.484,0.24,0.22196819,0.25457681,0.27044911,0.4
0,0.038,0,-0.539,-2.821,-0.532,-0.843,-0.532,0,-1.956,0.57431888,0.26430608,0.25475244,0.1
0,0,-0.498,0,-0.412,-1.669,0,0,0,0.791,0.20595225,0.29939135,0.31863998,0.3
0,0,0,0,-0.002,-0.693,0.276,0,0.279,-3.349,0.19794428,0.26402224,0.25374832,0.1
-0.083,0,0,-0.305,-1.655,0,0,-0.532,0,0.127,0.19394029,0.26935205,0.25360565,0.5
0,0,-1.053,-0.81,-0.244,-0.993,0,0,0,-0.97,0.59033482,0.94226398,0.48795818,0.7
0,0,0,0.818,0.79,0,0.715,0,0,1.192,0.51826308,0.2599697,0.25400398,0.1
-1.283,0,0,0,2.669,0,-1.294,-0.517,-0.214,0.629,0.19394029,0.25922857,0.25381964,0.4
0,-0.241,0,0,1.075,0,0,0,0,-0.348,0.23398015,0.25456104,0.29589331,0.3
0,-0.224,0,0,-0.3,0.63,0,0,-0.567,-0.921,0.33007579,0.25079233,0.25383188,0.3
-1.217,2.475,0,0,-2.325,0.754,0,0.111,0.784,-3.153,0.43017541,0.2844742,0.25483602,0.3
0,1.104,-0.462,0,-1.301,-0.436,0,-0.849,0,2.587,0.19794428,0.28073703,0.29006981,0.8
-0.704,0,-0.236,0.756,-0.031,0,0,-0.695,0,0.086,0.20595225,0.29939135,0.31863998,0.7
-0.522,0,0.584,0.558,-0.561,0,0.562,0,0,-0.673,0.19394029,0.24897894,0.2533706,0.4
0,0.365,0,0,0.181,0,0.856,0,0,-1.309,0.59033482,0.4453461,0.559486,0.3
0,0,0,2.654,-2.457,-0.445,0.08,-0.709,0,2.047,0.27001601,0.25014582,0.25345801,0.1
0,1.665,0.187,0,0.138,0,0,-0.206,0,-0.602,0.20595225,0.27554913,0.25490644,0.3
0.65,-1.454,0,-0.765,0.015,-1.579,-0.944,0,-0.477,1.567,0.23398015,0.25465566,0.29589331,0.1
1.128,-0.433,0.56,-1.929,0.771,-0.201,0,-0.741,1.64,0.928,0.20194827,0.28026397,0.2581968,0.1
1.794,0,0,0.149,0.894,0,-1.659,0,-0.601,-0.474,0.20194827,0.2544349,0.27675076,0.1
0,0,-1.085,0,-1.653,0,-1.161,0,0,-1.073,0.49023519,0.26738097,0.25499221,0.2
0.838,0,0,-1.014,-1.04,0,0.047,0,0.314,-1.402,0.22597218,0.29757796,0.27610833,0.1
0,-0.906,-1.829,0,-0.481,-0.36,0,0.008,0,1.073,0.22597218,0.24959392,0.25337484,0.6
-0.967,0,-1.205,0,-0.854,0.023,0,0.359,0,0.873,0.59033482,1.06909134,0.46202123,0.4
0,1.401,0.277,-0.5,-0.747,-0.979,0.41,1.664,0.019,0.082,0.59033482,0.85326565,0.40583139,0.1
0,0.89,0,-0.312,-1.17,1.207,0.191,0,1.344,-1.565,0.59033482,0.29440846,0.25445555,0.1
-0.61,-3.229,0,0.428,-0.29,-0.612,-0.588,-1.752,1.532,-2.753,0.19394029,0.24897894,0.2533706,0.1
-0.348,-1.517,0.417,0,-0.582,0,0,0,-0.099,-0.435,0.21396022,0.24667671,0.25344926,0.3
0,0,0.385,0.961,-0.376,-1.31,0,-0.838,0.697,-2.388,0.29403992,0.28833752,0.27241167,0.1
0.624,0.662,0,1.024,-0.906,0.118,-0.111,-0.425,0.552,-0.993,0.20595225,0.26126273,0.25521347,0.5
0.752,0,0,-0.367,0.877,0,0,0,-1.505,0.37,0.19394029,0.24539945,0.2533706,0.6
0.275,0.547,0,-0.359,-0.767,0.127,0,0,0.108,1.098,0.53027504,0.25036658,0.25351262,0.6
-0.104,0,-0.368,0.133,-1.222,1.424,0,-0.185,0,-0.848,0.36210767,0.2481432,0.25341281,0.9
-0.691,1.093,0,0.426,0.986,0,0,-0.831,0,-2.32,0.43818338,0.262335,0.25360599,0.5
-0.878,0,-0.338,0,-0.43,-0.383,0,0,0,-1.507,0.19394029,0.2674125,0.26434171,0.4
1.503,0,0,0,0.533,0,0,0,-0.487,0.876,0.49423917,0.31358315,0.31408953,0.4
0,0,0.813,0,-0.092,0.871,0,2.097,0,-0.157,0.36611165,0.26753865,0.25367743,0.4
2.091,0.331,0.73,0,-0.344,0,1.158,0,0,1.955,0.23398015,0.25456104,0.29589331,0.1
-0.457,-0.24,0,0.062,-1.677,2.253,0,1.452,-0.3,-2.243,0.20194827,0.25506564,0.25352917,0.1
0.503,0,0,-0.375,-1.528,-0.067,0,0.101,-0.369,0.497,0.23398015,0.25456104,0.29589331,0.4
-0.915,0.545,1.883,0,-1.375,1.533,0,0,-0.659,-0.613,0.23398015,0.25460835,0.29589331,0.5
-0.931,0,0,-0.004,-2.938,0,0,0.662,0,0.394,0.23398015,0.25456104,0.29589331,0.6
0,0,0,1.141,-3.031,0,0,0,0,-0.46,0.23798413,0.2544822,0.28385959,0.1
0,0,0,0,0.509,0.329,0,0,0,1.608,0.59033482,0.2326426,0.253292,0.1
-1.602,0,0,0,0.424,0,0,0.243,0,-0.246,0.58232685,0.27236387,0.25421464,0.4
0.915,1.291,0.725,-1.021,-0.082,0,0,-1.458,-1.987,-0.724,0.21796421,0.30106283,0.28640896,0.5
1.418,-1.707,0.004,0.422,0.809,0,-0.265,0,0,-2.216,0.20995624,0.25470296,0.30473665,0.1
0.844,0,0,0,2.21,0.588,1.894,0,0,1.068,0.23798413,0.25457681,0.28385959,0.4
0.758,-0.642,0,0,-1.461,0,1.243,0,0,0.144,0.19394029,0.26805902,0.25381682,0.1
0.563,0,0,0,0.185,-1.318,0.537,0,0,1.096,0.31005586,0.24983045,0.25352347,0.4
0,0.16,0,0,-1.275,-0.354,0.093,-1.823,-0.484,0.24,0.2459921,0.35625315,0.58040822,0.4
0,0.038,0,-0.539,-2.821,-0.532,-0.843,-0.532,0,-1.956,0.20194827,0.25435605,0.2650217,0.1
0,0,-0.498,0,-0.412,-1.669,0,0,0,0.791,0.28202797,0.26271344,0.25366794,0.3
0,0,0,0,-0.002,-0.693,0.276,0,0.279,-3.349,0.25400007,0.27252155,0.25420816,0.1
-0.083,0,0,-0.305,-1.655,0,0,-0.532,0,0.127,0.54228699,0.27223772,0.25386311,0.5
0,0,-1.053,-0.81,-0.244,-0.993,0,0,0,-0.97,0.23798413,0.29910752,0.31155797,0.7
0,0,0,0.818,0.79,0,0.715,0,0,1.192,0.20595225,0.29939135,0.31863998,0.1
-1.283,0,0,0,2.669,0,-1.294,-0.517,-0.214,0.629,0.19394029,0.24896317,0.2533706,0.4
0,-0.241,0,0,1.075,0,0,0,0,-0.348,0.35009571,0.26255576,0.25362721,0.3
0,-0.224,0,0,-0.3,0.63,0,0,-0.567,-0.921,0.19394029,0.24538368,0.2533706,0.3
-1.217,2.475,0,0,-2.325,0.754,0,0.111,0.784,-3.153,0.32206782,0.30602996,0.2799382,0.3
0,1.104,-0.462,0,-1.301,-0.436,0,-0.849,0,2.587,0.19394029,0.27091315,0.253641,0.8
-0.704,0,-0.236,0.756,-0.031,0,0,-0.695,0,0.086,0.4061515,0.26285536,0.25360299,0.7
-0.522,0,0.584,0.558,-0.561,0,0.562,0,0,-0.673,0.19794428,0.26835862,0.25378804,0.4
0,0.365,0,0,0.181,0,0.856,0,0,-1.309,0.59033482,1.02590097,0.45613264,0.3
0,0,0,2.654,-2.457,-0.445,0.08,-0.709,0,2.047,0.21796421,0.25432451,0.2650217,0.1
0,1.665,0.187,0,0.138,0,0,-0.206,0,-0.602,0.42617143,0.32293397,0.25731243,0.3
0.65,-1.454,0,-0.765,0.015,-1.579,-0.944,0,-0.477,1.567,0.20595225,0.29910752,0.31155797,0.1
1.128,-0.433,0.56,-1.929,0.771,-0.201,0,-0.741,1.64,0.928,0.23398015,0.25456104,0.29589331,0.1
1.794,0,0,0.149,0.894,0,-1.659,0,-0.601,-0.474,0.41415947,0.46937754,0.65432436,0.1
0,0,-1.085,0,-1.653,0,-1.161,0,0,-1.073,0.21796421,0.2544822,0.28020841,0.2
0.838,0,0,-1.014,-1.04,0,0.047,0,0.314,-1.402,0.23398015,0.25470296,0.29589331,0.1
0,-0.906,-1.829,0,-0.481,-0.36,0,0.008,0,1.073,0.19794428,0.26824824,0.25569663,0.6
-0.967,0,-1.205,0,-0.854,0.023,0,0.359,0,0.873,0.38212759,0.26501567,0.25429616,0.4
0,1.401,0.277,-0.5,-0.747,-0.979,0.41,1.664,0.019,0.082,0.43818338,0.25274765,0.25416598,0.1
0,0.89,0,-0.312,-1.17,1.207,0.191,0,1.344,-1.565,0.20595225,0.28373307,0.27451732,0.1
-0.61,-3.229,0,0.428,-0.29,-0.612,-0.588,-1.752,1.532,-2.753,0.20194827,0.25441913,0.27044911,0.1
-0.348,-1.517,0.417,0,-0.582,0,0,0,-0.099,-0.435,0.19794428,0.28600376,0.37210537,0.3
0,0,0.385,0.961,-0.376,-1.31,0,-0.838,0.697,-2.388,0.37812361,0.26312343,0.25370562,0.1
0.624,0.662,0,1.024,-0.906,0.118,-0.111,-0.425,0.552,-0.993,0.33808376,0.25192768,0.25351126,0.5
0.752,0,0,-0.367,0.877,0,0,0,-1.505,0.37,0.21796421,0.25457681,0.28020841,0.6
0.275,0.547,0,-0.359,-0.767,0.127,0,0,0.108,1.098,0.19794428,0.25541255,0.25356606,0.6
-0.104,0,-0.368,0.133,-1.222,1.424,0,-0.185,0,-0.848,0.33808376,0.25908665,0.25381812,0.9
-0.691,1.093,0,0.426,0.986,0,0,-0.831,0,-2.32,0.45019534,0.26758596,0.25368104,0.5
-0.878,0,-0.338,0,-0.43,-0.383,0,0,0,-1.507,0.20194827,0.25435605,0.2650217,0.4
1.503,0,0,0,0.533,0,0,0,-0.487,0.876,0.23398015,0.25460835,0.29589331,0.4
0,0,0.813,0,-0.092,0.871,0,2.097,0,-0.157,0.20194827,0.25465566,0.28769615,0.4
2.091,0.331,0.73,0,-0.344,0,1.158,0,0,1.955,0.20194827,0.25456104,0.28769615,0.1
-0.457,-0.24,0,0.062,-1.677,2.253,0,1.452,-0.3,-2.243,0.19394029,0.24538368,0.2533706,0.1
0.503,0,0,-0.375,-1.528,-0.067,0,0.101,-0.369,0.497,0.20194827,0.25754132,0.27295911,0.4
-0.915,0.545,1.883,0,-1.375,1.533,0,0,-0.659,-0.613,0.50625113,0.27170158,0.25406612,0.5
-0.931,0,0,-0.004,-2.938,0,0,0.662,0,0.394,0.27802398,0.34001143,0.37059472,0.6
0,0,0,1.141,-3.031,0,0,0,0,-0.46,0.23398015,0.30044785,0.32324306,0.1
0,0,0,0,0.509,0.329,0,0,0,1.608,0.22997616,0.28067395,0.25410264,0.1
-1.602,0,0,0,0.424,0,0,0.243,0,-0.246,0.21796421,0.2544822,0.28020841,0.4
0.915,1.291,0.725,-1.021,-0.082,0,0,-1.458,-1.987,-0.724,0.3260718,0.24740207,0.25339089,0.5
1.418,-1.707,0.004,0.422,0.809,0,-0.265,0,0,-2.216,0.20194827,0.25451374,0.27044911,0.1
0.844,0,0,0,2.21,0.588,1.894,0,0,1.068,0.21796421,0.25188037,0.2538084,0.4
0.758,-0.642,0,0,-1.461,0,1.243,0,0,0.144,0.4061515,0.26050583,0.25359386,0.1
0.563,0,0,0,0.185,-1.318,0.537,0,0,1.096,0.23798413,0.25452951,0.28385959,0.4
0,0.16,0,0,-1.275,-0.354,0.093,-1.823,-0.484,0.24,0.37411962,0.25085541,0.25441989,0.4
0,0.038,0,-0.539,-2.821,-0.532,-0.843,-0.532,0,-1.956,0.20194827,0.25460835,0.28769615,0.1
0,0,-0.498,0,-0.412,-1.669,0,0,0,0.791,0.20194827,0.25465566,0.28769615,0.3
0,0,0,0,-0.002,-0.693,0.276,0,0.279,-3.349,0.28603195,0.29505497,0.40126514,0.1
-0.083,0,0,-0.305,-1.655,0,0,-0.532,0,0.127,0.19794428,0.29537034,0.32933647,0.5
0,0,-1.053,-0.81,-0.244,-0.993,0,0,0,-0.97,0.27802398,0.24856895,0.25353491,0.7
0,0,0,0.818,0.79,0,0.715,0,0,1.192,0.19394029,0.24897894,0.2533706,0.1
-1.283,0,0,0,2.669,0,-1.294,-0.517,-0.214,0.629,0.22196819,0.26408532,0.25371428,0.4
0,-0.241,0,0,1.075,0,0,0,0,-0.348,0.19794428,0.2563429,0.25413261,0.3
0,-0.224,0,0,-0.3,0.63,0,0,-0.567,-0.921,0.20595225,0.25434028,0.27349489,0.3
-1.217,2.475,0,0,-2.325,0.754,0,0.111,0.784,-3.153,0.21796421,0.25457681,0.28020841,0.3
0,1.104,-0.462,0,-1.301,-0.436,0,-0.849,0,2.587,0.20194827,0.25465566,0.28769615,0.8
-0.704,0,-0.236,0.756,-0.031,0,0,-0.695,0,0.086,0.27001601,0.25304725,0.25351426,0.7
-0.522,0,0.584,0.558,-0.561,0,0.562,0,0,-0.673,0.20194827,0.25470296,0.28769615,0.4
0,0.365,0,0,0.181,0,0.856,0,0,-1.309,0.40214752,0.26987242,0.255222,0.3
0,0,0,2.654,-2.457,-0.445,0.08,-0.709,0,2.047,0.19394029,0.24899471,0.2533706,0.1
0,1.665,0.187,0,0.138,0,0,-0.206,0,-0.602,0.59033482,0.34726501,0.25866947,0.3
0.65,-1.454,0,-0.765,0.015,-1.579,-0.944,0,-0.477,1.567,0.23798413,0.2544822,0.28385959,0.1
1.128,-0.433,0.56,-1.929,0.771,-0.201,0,-0.741,1.64,0.928,0.23398015,0.25465566,0.29589331,0.1
1.794,0,0,0.149,0.894,0,-1.659,0,-0.601,-0.474,0.20194827,0.25460835,0.28769615,0.1
0,0,-1.085,0,-1.653,0,-1.161,0,0,-1.073,0.20194827,0.2544349,0.27675076,0.2
0.838,0,0,-1.014,-1.04,0,0.047,0,0.314,-1.402,0.29804391,0.25054004,0.2534746,0.1
0,-0.906,-1.829,0,-0.481,-0.36,0,0.008,0,1.073,0.22196819,0.29358849,0.28904043,0.6
-0.967,0,-1.205,0,-0.854,0.023,0,0.359,0,0.873,0.23398015,0.25470296,0.29589331,0.4
0,1.401,0.277,-0.5,-0.747,-0.979,0.41,1.664,0.019,0.082,0.59033482,0.2326426,0.253292,0.1
0,0.89,0,-0.312,-1.17,1.207,0.191,0,1.344,-1.565,0.23398015,0.25460835,0.29589331,0.1
-0.61,-3.229,0,0.428,-0.29,-0.612,-0.588,-1.752,1.532,-2.753,0.27802398,0.2615781,0.25368361,0.1
-0.348,-1.517,0.417,0,-0.582,0,0,0,-0.099,-0.435,0.21796421,0.25457681,0.28020841,0.3
0,0,0.385,0.961,-0.376,-1.31,0,-0.838,0.697,-2.388,0.20995624,0.25470296,0.30473665,0.1
0.624,0.662,0,1.024,-0.906,0.118,-0.111,-0.425,0.552,-0.993,0.20595225,0.25438759,0.27349489,0.5
0.752,0,0,-0.367,0.877,0,0,0,-1.505,0.37,0.59033482,0.25848744,0.25392403,0.6
0.275,0.547,0,-0.359,-0.767,0.127,0,0,0.108,1.098,0.20194827,0.2544822,0.27675076,0.6
-0.104,0,-0.368,0.133,-1.222,1.424,0,-0.185,0,-0.848,0.20595225,0.31470273,0.30332162,0.9
-0.691,1.093,0,0.426,0.986,0,0,-0.831,0,-2.32,0.30204789,0.32936758,0.25689678,0.5
-0.878,0,-0.338,0,-0.43,-0.383,0,0,0,-1.507,0.24198812,0.29910752,0.31155797,0.4
1.503,0,0,0,0.533,0,0,0,-0.487,0.876,0.35009571,0.41338302,0.51142682,0.4
0,0,0.813,0,-0.092,0.871,0,2.097,0,-0.157,0.19394029,0.24896317,0.2533706,0.4
2.091,0.331,0.73,0,-0.344,0,1.158,0,0,1.955,0.21396022,0.27802482,0.54766694,0.1
-0.457,-0.24,0,0.062,-1.677,2.253,0,1.452,-0.3,-2.243,0.59033482,0.29240584,0.25430912,0.1
0.503,0,0,-0.375,-1.528,-0.067,0,0.101,-0.369,0.497,0.33007579,0.25088695,0.25350314,0.4
-0.915,0.545,1.883,0,-1.375,1.533,0,0,-0.659,-0.613,0.20194827,0.29757796,0.27610833,0.5
-0.931,0,0,-0.004,-2.938,0,0,0.662,0,0.394,0.20194827,0.52344829,0.40820748,0.6
0,0,0,1.141,-3.031,0,0,0,0,-0.46,0.21396022,0.30180396,0.46532301,0.1
0,0,0,0,0.509,0.329,0,0,0,1.608,0.20995624,0.29637954,0.26385451,0.1
-1.602,0,0,0,0.424,0,0,0.243,0,-0.246,0.22597218,0.30707069,0.28517297,0.4
0.915,1.291,0.725,-1.021,-0.082,0,0,-1.458,-1.987,-0.724,0.2459921,0.3139616,0.61115888,0.5
1.418,-1.707,0.004,0.422,0.809,0,-0.265,0,0,-2.216,0.59033482,0.27922323,0.25393548,0.1
0.844,0,0,0,2.21,0.588,1.894,0,0,1.068,0.25400007,0.27950707,0.25797633,0.4
0.758,-0.642,0,0,-1.461,0,1.243,0,0,0.144,0.37011564,0.251565,0.25394461,0.1
0.563,0,0,0,0.185,-1.318,0.537,0,0,1.096,0.21796421,0.24571482,0.26502138,0.4
0,0.16,0,0,-1.275,-0.354,0.093,-1.823,-0.484,0.24,0.20194827,0.25465566,0.28769615,0.4
0,0.038,0,-0.539,-2.821,-0.532,-0.843,-0.532,0,-1.956,0.39814353,0.25941779,0.25357473,0.1
0,0,-0.498,0,-0.412,-1.669,0,0,0,0.791,0.30204789,0.26980934,0.25544839,0.3
0,0,0,0,-0.002,-0.693,0.276,0,0.279,-3.349,0.47822323,0.45348273,0.55650684,0.1
-0.083,0,0,-0.305,-1.655,0,0,-0.532,0,0.127,0.20595225,0.26790133,0.25366451,0.5
0,0,-1.053,-0.81,-0.244,-0.993,0,0,0,-0.97,0.23798413,0.2544349,0.28385959,0.7
0,0,0,0.818,0.79,0,0.715,0,0,1.192,0.19394029,0.2531734,0.25584164,0.1
-1.283,0,0,0,2.669,0,-1.294,-0.517,-0.214,0.629,0.23398015,0.25470296,0.29589331,0.4
0,-0.241,0,0,1.075,0,0,0,0,-0.348,0.25400007,0.25134424,0.25350368,0.3
0,-0.224,0,0,-0.3,0.63,0,0,-0.567,-0.921,0.23398015,0.25465566,0.29589331,0.3
-1.217,2.475,0,0,-2.325,0.754,0,0.111,0.784,-3.153,0.20194827,0.25457681,0.27675076,0.3
0,1.104,-0.462,0,-1.301,-0.436,0,-0.849,0,2.587,0.42216744,0.24908932,0.25344957,0.8
-0.704,0,-0.236,0.756,-0.031,0,0,-0.695,0,0.086,0.20194827,0.25457681,0.27675076,0.7
-0.522,0,0.584,0.558,-0.561,0,0.562,0,0,-0.673,0.19394029,0.27780405,0.26148391,0.4
0,0.365,0,0,0.181,0,0.856,0,0,-1.309,0.24198812,0.28458458,0.25430052,0.3
0,0,0,2.654,-2.457,-0.445,0.08,-0.709,0,2.047,0.19394029,0.26548873,0.25382253,0.1
0,1.665,0.187,0,0.138,0,0,-0.206,0,-0.602,0.21796421,0.29891829,0.30477742,0.3
0.65,-1.454,0,-0.765,0.015,-1.579,-0.944,0,-0.477,1.567,0.21396022,0.25432451,0.26265721,0.1
1.128,-0.433,0.56,-1.929,0.771,-0.201,0,-0.741,1.64,0.928,0.28603195,0.2668606,0.25434445,0.1
1.794,0,0,0.149,0.894,0,-1.659,0,-0.601,-0.474,0.20595225,0.29939135,0.31863998,0.1
0,0,-1.085,0,-1.653,0,-1.161,0,0,-1.073,0.22597218,0.29358849,0.2969371,0.2
0.838,0,0,-1.014,-1.04,0,0.047,0,0.314,-1.402,0.20194827,0.25465566,0.28769615,0.1
0,-0.906,-1.829,0,-0.481,-0.36,0,0.008,0,1.073,0.42617143,0.26747558,0.261059,0.6
-0.967,0,-1.205,0,-0.854,0.023,0,0.359,0,0.873,0.59033482,1.02263686,0.48645858,0.4
0,1.401,0.277,-0.5,-0.747,-0.979,0.41,1.664,0.019,0.082,0.3260718,0.35235829,0.60888756,0.1
0,0.89,0,-0.312,-1.17,1.207,0.191,0,1.344,-1.565,0.27802398,0.30771721,0.35594702,0.1
-0.61,-3.229,0,0.428,-0.29,-0.612,-0.588,-1.752,1.532,-2.753,0.20194827,0.25445066,0.26053713,0.1
-0.348,-1.517,0.417,0,-0.582,0,0,0,-0.099,-0.435,0.23798413,0.25457681,0.28385959,0.3
0,0,0.385,0.961,-0.376,-1.31,0,-0.838,0.697,-2.388,0.20194827,0.29940712,0.31863998,0.1
0.624,0.662,0,1.024,-0.906,0.118,-0.111,-0.425,0.552,-0.993,0.23398015,0.25465566,0.29589331,0.5
0.752,0,0,-0.367,0.877,0,0,0,-1.505,0.37,0.19394029,0.26692368,0.25991145,0.6
0.275,0.547,0,-0.359,-0.767,0.127,0,0,0.108,1.098,0.43818338,0.26159387,0.25396711,0.6
-0.104,0,-0.368,0.133,-1.222,1.424,0,-0.185,0,-0.848,0.19794428,0.28759639,0.26072134,0.9
-0.691,1.093,0,0.426,0.986,0,0,-0.831,0,-2.32,0.19394029,0.24538368,0.2533706,0.5
-0.878,0,-0.338,0,-0.43,-0.383,0,0,0,-1.507,0.20194827,0.25984355,0.25360608,0.4
1.503,0,0,0,0.533,0,0,0,-0.487,0.876,0.23798413,0.29906021,0.31155797,0.4
0,0,0.813,0,-0.092,0.871,0,2.097,0,-0.157,0.21796421,0.24571482,0.26502138,0.4
2.091,0.331,0.73,0,-0.344,0,1.158,0,0,1.955,0.44218737,0.26252422,0.2537862,0.1
-0.457,-0.24,0,0.062,-1.677,2.253,0,1.452,-0.3,-2.243,0.34208774,0.25965432,0.25611008,0.1
0.503,0,0,-0.375,-1.528,-0.067,0,0.101,-0.369,0.497,0.19794428,0.26843747,0.25418088,0.4
-0.915,0.545,1.883,0,-1.375,1.533,0,0,-0.659,-0.613,0.35009571,0.24812743,0.25351614,0.5
-0.931,0,0,-0.004,-2.938,0,0,0.662,0,0.394,0.20194827,0.29939135,0.31863998,0.6
0,0,0,1.141,-3.031,0,0,0,0,-0.46,0.20194827,0.27758329,0.27042109,0.1
0,0,0,0,0.509,0.329,0,0,0,1.608,0.33407977,0.42356958,0.70401229,0.1
-1.602,0,0,0,0.424,0,0,0.243,0,-0.246,0.20995624,0.25323648,0.25349838,0.4
0.915,1.291,0.725,-1.021,-0.082,0,0,-1.458,-1.987,-0.724,0.23798413,0.26744404,0.2537689,0.5
1.418,-1.707,0.004,0.422,0.809,0,-0.265,0,0,-2.216,0.53427902,0.28710757,0.25427047,0.1
0.844,0,0,0,2.21,0.588,1.894,0,0,1.068,0.27001601,0.24953084,0.2534572,0.4
0.758,-0.642,0,0,-1.461,0,1.243,0,0,0.144,0.20194827,0.25460835,0.28769615,0.1
0.563,0,0,0,0.185,-1.318,0.537,0,0,1.096,0.23398015,0.25465566,0.29589331,0.4
0,0.16,0,0,-1.275,-0.354,0.093,-1.823,-0.484,0.24,0.4061515,0.26283959,0.25359172,0.4
0,0.038,0,-0.539,-2.821,-0.532,-0.843,-0.532,0,-1.956,0.34609173,0.26165694,0.25360607,0.1
0,0,-0.498,0,-0.412,-1.669,0,0,0,0.791,0.27802398,0.24617212,0.25337202,0.3
0,0,0,0,-0.002,-0.693,0.276,0,0.279,-3.349,0.23398015,0.25460835,0.29589331,0.1
-0.083,0,0,-0.305,-1.655,0,0,-0.532,0,0.127,0.59033482,0.2326426,0.253292,0.5
0,0,-1.053,-0.81,-0.244,-0.993,0,0,0,-0.97,0.28603195,0.44020552,0.45875695,0.7
0,0,0,0.818,0.79,0,0.715,0,0,1.192,0.20595225,0.25434028,0.27349489,0.1
-1.283,0,0,0,2.669,0,-1.294,-0.517,-0.214,0.629,0.37812361,0.26700252,0.25374432,0.4
0,-0.241,0,0,1.075,0,0,0,0,-0.348,0.19394029,0.26091582,0.25364481,0.3
0,-0.224,0,0,-0.3,0.63,0,0,-0.567,-0.921,0.23398015,0.25470296,0.29589331,0.3
-1.217,2.475,0,0,-2.325,0.754,0,0.111,0.784,-3.153,0.23398015,0.25456104,0.29589331,0.3
0,1.104,-0.462,0,-1.301,-0.436,0,-0.849,0,2.587,0.23398015,0.25465566,0.29589331,0.8
-0.704,0,-0.236,0.756,-0.031,0,0,-0.695,0,0.086,0.21796421,0.30560421,0.30473743,0.7
-0.522,0,0.584,0.558,-0.561,0,0.562,0,0,-0.673,0.20194827,0.25456104,0.28769615,0.4
0,0.365,0,0,0.181,0,0.856,0,0,-1.309,0.20595225,0.29940712,0.31863998,0.3
0,0,0,2.654,-2.457,-0.445,0.08,-0.709,0,2.047,0.59033482,0.74255386,0.5559131,0.1
0,1.665,0.187,0,0.138,0,0,-0.206,0,-0.602,0.19394029,0.25968586,0.25360547,0.3
0.65,-1.454,0,-0.765,0.015,-1.579,-0.944,0,-0.477,1.567,0.20995624,0.25470296,0.30473665,0.1
1.128,-0.433,0.56,-1.929,0.771,-0.201,0,-0.741,1.64,0.928,0.54629098,0.26780672,0.28235184,0.1
1.794,0,0,0.149,0.894,0,-1.659,0,-0.601,-0.474,0.59033482,0.27480801,0.25401749,0.1
0,0,-1.085,0,-1.653,0,-1.161,0,0,-1.073,0.20194827,0.26091582,0.28644631,0.2
0.838,0,0,-1.014,-1.04,0,0.047,0,0.314,-1.402,0.36611165,0.24830089,0.25353611,0.1
